Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Ryan Phillippe,Reese Witherspoon,1999-01-01,2007-01-01,,United States,actor
Richard Burton,Elizabeth Taylor,1975-10-10,1976-07-29,,United Kingdom,actor
Jiang Qing,Mao Zedong,1939-11-28,1976-09-09,death of subject's spouse,People's Republic of China,actor
Bruce Willis,Demi Moore,1987-11-21,2000-10-18,divorce,United States,actor
Michael Douglas,Catherine Zeta-Jones,,,,United States,actor
James Cameron,Kathryn Bigelow,1989-08-17,1991-11-10,,Canada,actor
Jeanne Moreau,William Friedkin,1977-02-08,1979-01-01,,France,actor
Michel Hazanavicius,Bérénice Bejo,,,,France,actor
Jeanne Moreau,William Friedkin,1977-02-08,1979-01-01,,France,musician
Alicia Vikander,Michael Fassbender,2017-10-14,,,Sweden,actor
Lauren Bacall,Humphrey Bogart,1945-05-21,1957-01-14,death of subject's spouse,United States,actor
Peter Lorre,Celia Lovsky,1934-01-01,1945-01-01,,Austria,actor
Kelly Preston,John Travolta,1991-12-12,2020-07-12,death of subject,United States,actor
Ryan Reynolds,Scarlett Johansson,2008-09-27,2011-07-01,divorce,United States,actor
Christina Hendricks,Geoffrey Arend,2009-01-01,2019-01-01,divorce,United States,actor
Uma Thurman,Gary Oldman,1990-10-01,1992-04-30,,United States,actor
Tony Curtis,Christine Kaufmann,1963-01-01,1968-01-01,,United States,actor
Diane Lane,Josh Brolin,2004-01-01,2013-01-01,,United States,actor
Ashton Kutcher,Demi Moore,2005-09-24,2013-11-27,divorce,United States,actor
Christina Hendricks,Geoffrey Arend,2009-01-01,2019-01-01,divorce,United Kingdom,actor
Anna Karina,Jean-Luc Godard,1961-01-01,1968-01-01,,Kingdom of Denmark,actor
Roger Vadim,Brigitte Bardot,1952-12-20,1957-12-06,,France,actor
Philipp Kirkorov,Alla Pugacheva,1994-03-15,2005-02-01,,Russia,actor
Vivien Leigh,Q55245,1940-01-01,1960-01-01,,United Kingdom,actor
Charlie Chaplin,Paulette Goddard,1936-01-01,1942-01-01,divorce,United Kingdom of Great Britain and Ireland,actor
Andre Agassi,Steffi Graf,2001-10-22,,,United States,athlete
Madeleine Stowe,Brian Benben,1982-01-01,,,United States,actor
George Lazenby,Pam Shriver,2002-01-01,2008-01-01,,Australia,actor
Rachel Weisz,Daniel Craig,2011-06-22,,,United States,actor
Rachel Weisz,Daniel Craig,2011-06-22,,,United Kingdom,actor
Kim Kardashian,Kanye West,2014-05-24,2022-03-02,divorce,United States,actor
Jada Pinkett Smith,Will Smith,1998-10-17,2016-01-01,divorce,United States,actor
Paulette Goddard,Charlie Chaplin,1936-01-01,1942-01-01,,United States,actor
Nicole Kidman,Tom Cruise,1990-12-24,2001-01-01,divorce,United States,actor
Priscilla Presley,Elvis Presley,1967-05-01,1973-10-09,divorce,United States,actor
Ryan Reynolds,Scarlett Johansson,2008-09-27,2011-07-01,divorce,Canada,actor
Steffi Graf,Andre Agassi,2001-10-22,,,Germany,actor
Chris Pratt,Anna Faris,2009-01-01,2018-10-01,,United States,actor
Steffi Graf,Andre Agassi,2001-10-22,,,Germany,athlete
Richard Burton,Elizabeth Taylor,1964-03-15,1974-06-26,,United Kingdom,actor
Angelina Jolie,Jonny Lee Miller,1996-03-28,1999-02-03,divorce,Cambodia,actor
Iman,David Bowie,1992-01-01,2016-01-10,death of subject's spouse,Somalia,actor
Katie Holmes,Tom Cruise,2006-01-01,2012-01-01,divorce,United States,actor
Nicole Kidman,Tom Cruise,1990-12-24,2001-01-01,divorce,Australia,actor
Melanie Griffith,Antonio Banderas,1996-01-01,2014-01-01,,United States,actor
Roger Vadim,Jane Fonda,1965-08-14,1973-01-16,,France,actor
Sean Penn,Madonna,1985-08-16,1989-01-01,,United States,actor
Angelina Jolie,Brad Pitt,2014-08-23,2019-04-12,marital separation,Cambodia,actor
Shelley Winters,Vittorio Gassman,1952-01-01,1954-01-01,,United States,actor
Paulette Goddard,Erich Maria Remarque,1958-01-01,1970-01-01,death of subject's spouse,United States,actor
Carole King,Gerry Goffin,1959-08-01,1968-01-01,,United States,actor
Carole King,Gerry Goffin,1959-08-01,1968-01-01,,United States,musician
Jaya Bachchan,Amitabh Bachchan,1973-06-03,,,India,actor
Harrison Ford,Calista Flockhart,2010-06-15,,,United States,actor
Sasha Clements,Corbin Bleu,2016-07-23,,,Canada,actor
Jean Harlow,Paul Bern,1932-06-01,1932-09-05,,United States,actor
Nancy Reagan,Ronald Reagan,1952-03-04,2004-06-05,death of subject's spouse,United States,actor
Patricia Neal,Roald Dahl,1953-07-02,1983-01-01,,United States,actor
Vincent Cassel,Monica Bellucci,1999-08-02,2013-08-26,,Brazil,actor
Jane Wyman,Ronald Reagan,1940-01-26,1949-01-01,divorce,United States,actor
Anouk Aimée,Pierre Barouh,1966-01-01,1969-01-01,,France,actor
Victoria Beckham,David Beckham,1999-07-04,,,United Kingdom,actor
Prince Albert of Saxe-Coburg and Gotha,Victoria,1840-02-10,1861-12-14,death of subject,United Kingdom of Great Britain and Ireland,musician
Claudia Schiffer,Matthew Vaughn,2002-05-25,,,Germany,actor
Daryl Hannah,Neil Young,2018-01-01,,,United States,actor
Charlie Chaplin,Lita Grey,1924-11-24,1927-08-01,divorce,United Kingdom of Great Britain and Ireland,actor
Robin Wright,Sean Penn,1996-01-01,2009-01-01,,United States,actor
Fritz Lang,Thea von Harbou,1922-08-01,1933-04-01,,United States,actor
Cindy Crawford,Richard Gere,1991-01-01,1995-01-01,,United States,actor
Ava Gardner,Frank Sinatra,1951-11-07,1957-07-05,divorce,United States,actor
Hedy Lamarr,Friedrich Mandl,1933-01-01,1937-01-01,,United States,actor
