Celebrity,Spouse,Start_Date,End_Date,End_Cause,Celebrity_Birth,Career_Start_Year,Children_Count,Awards_Count
Maya Plisetskaya,Māris Liepa,1956-01-01,1956-01-01,,1925-11-20,1943-01-01,0,35
Serge Gainsbourg,Lise Levitzky,1951-01-01,1957-01-01,,1928-04-02,1957-01-01,2,4
Joan Collins,Anthony Newley,1963-01-01,1971-01-01,,1933-05-23,1951-01-01,2,4
Keira Knightley,James Righton,2013-05-04,,,1985-03-26,1993-01-01,0,5
Rod Steiger,Sherry Nelson,1973-01-01,1979-01-01,divorce,1925-04-14,1950-01-01,1,6
Q102711,Victoria Duffy,1996-04-13,2010-05-29,death of subject,1936-05-17,1954-01-01,3,6
Gena Rowlands,John Cassavetes,1954-01-01,1989-02-03,death of subject's spouse,1930-06-19,1954-01-01,3,16
Marcello Mastroianni,Flora Carabella,1948-01-01,1996-12-19,,1924-09-28,1938-01-01,2,17
William Shatner,Gloria Rand,1956-08-12,1969-03-04,,1931-03-22,1951-01-01,3,18
Ronda Rousey,Travis Browne,2017-01-01,,,1987-02-01,2010-01-01,0,1
Emil Jannings,Lucie Höflich,1921-08-09,1922-06-13,divorce,1884-07-23,1914-01-01,0,5
Rudolph Valentino,Jean Acker,1919-01-01,1923-01-01,,1895-05-06,1914-01-01,0,1
Jonathan Winters,Eileen Schauder,,,,1925-11-11,1953-01-01,0,6
Chow Yun-fat,Candice Yu,1983-01-01,1984-01-01,,1955-05-18,1973-01-01,0,3
Cary Grant,Virginia Cherrill,1934-02-09,1935-01-01,,1904-01-18,1932-01-01,1,5
Bradley Cooper,Jennifer Esposito,2006-01-01,2007-01-01,divorce,1975-01-05,1998-01-01,0,5
Maurice Chevalier,Yvonne Vallée,1927-10-10,1932-01-18,,1888-09-12,1901-01-01,0,12
Alfred Molina,Jill Gascoine,1986-01-01,2020-04-28,date of death,1953-05-24,1978-01-01,0,2
Nancy Sinatra,Tommy Sands,1960-01-01,1965-01-01,divorce,1940-06-08,1961-01-01,2,1
Asa Akira,Toni Ribas,2012-12-01,2017-01-01,,1985-01-03,2006-01-01,0,1
Barry Bostwick,Sherri Jensen,1994-01-01,,,1945-02-24,1970-01-01,0,1
Anthony Hopkins,Petronella Barker,1966-01-01,1972-01-01,divorce,1937-12-31,1960-01-01,1,30
Louis de Funès,Jeanne de Funès,1943-04-20,1983-01-27,death of subject,1914-07-31,1946-01-01,3,2
Sean Combs,Jennifer Lopez,1997-02-01,1998-01-01,divorce,1969-11-04,1990-01-01,2,7
John Barrymore,Elaine Barrie,1936-01-01,1940-01-01,,1882-02-15,1903-01-01,2,1
Albert Finney,Anouk Aimée,1970-01-01,1978-01-01,,1936-05-09,1958-01-01,0,15
Carl Reiner,Estelle Reiner,1943-12-24,2008-10-25,death of subject's spouse,1922-03-20,1947-01-01,3,5
Norma Shearer,Martin Arrougé,1942-01-01,,,1902-08-10,1920-01-01,2,4
Aaron Sorkin,Julia Bingham,1996-01-01,2005-01-01,,1961-06-09,1984-01-01,0,7
Stellan Skarsgård,My Skarsgård,1976-02-28,2007-01-01,,1951-06-13,1968-01-01,8,6
